"sec","date","open","high","low","close","volume","adjusted"
"239",2000-12-11,1.084821,1.098214,1.0625,1.084821,83127800,0.950335
"240",2000-12-12,1.089286,1.142857,1.071429,1.098214,96565000,0.962067
"241",2000-12-13,1.111607,1.111607,1.0625,1.071429,86221800,0.938603
"242",2000-12-14,1.073657,1.089286,1.03125,1.03125,65829400,0.903405
"243",2000-12-15,1.040179,1.049107,1,1.004464,128486400,0.87994
"244",2000-12-18,1.040179,1.044643,0.995536,1.017857,81452000,0.891673
"245",2000-12-19,1.026786,1.089286,1,1,93501800,0.876029
"246",2000-12-20,0.984371,1.044643,0.973214,1.026786,141332800,0.899494
"247",2000-12-21,1.017857,1.071429,0.991071,1.004464,91711200,0.87994
"248",2000-12-22,1.008929,1.071429,1.008929,1.071429,79513000,0.938603
"249",2000-12-26,1.0625,1.071429,1.017857,1.049107,54203800,0.919049
"250",2000-12-27,1.02455,1.058036,1.013393,1.058036,81366600,0.92687
"251",2000-12-28,1.026786,1.066964,1.022321,1.058036,76294400,0.92687
"252",2000-12-29,1.049107,1.071429,1.035714,1.0625,157584000,0.930781
"253",2001-01-02,1.0625,1.089286,1.040179,1.0625,113078000,0.930781
"254",2001-01-03,1.035714,1.191964,1.03125,1.169643,204268400,1.024641
"255",2001-01-04,1.295757,1.321429,1.200893,1.21875,184849000,1.06766
"256",2001-01-05,1.209821,1.241071,1.147321,1.169643,103089000,1.024641
"257",2001-01-08,1.209821,1.213164,1.138393,1.183036,93424800,1.036374
"258",2001-01-09,1.200893,1.260043,1.183036,1.227679,147232400,1.075482
"259",2001-01-10,1.191964,1.214286,1.147321,1.183036,145195400,1.036374
"260",2001-01-11,1.160714,1.321429,1.160714,1.285714,200933600,1.126323
"261",2001-01-12,1.276786,1.285714,1.21875,1.227679,105844200,1.075482
"262",2001-01-16,1.245536,1.303571,1.214286,1.223214,76529600,1.071571
"263",2001-01-17,1.254464,1.254464,1.178571,1.200893,210218400,1.052017
"264",2001-01-18,1.272321,1.339286,1.258929,1.334821,306752600,1.169342
"265",2001-01-19,1.388393,1.397321,1.334821,1.392857,194166000,1.220183
"266",2001-01-22,1.361607,1.401786,1.316964,1.375,129831800,1.20454
"267",2001-01-23,1.379464,1.495536,1.361607,1.464286,219882600,1.282757
"268",2001-01-24,1.473214,1.477679,1.397321,1.464286,179272800,1.282757
"269",2001-01-25,1.46875,1.46875,1.410714,1.424107,122427200,1.247559
"270",2001-01-26,1.392857,1.415179,1.361607,1.397321,120705200,1.224094
"271",2001-01-29,1.397321,1.553571,1.397321,1.549107,213882200,1.357063
"272",2001-01-30,1.540179,1.571429,1.491071,1.553571,173105800,1.360974
